home_team,away_team,spread,ensemble_pred,line_value,confidence,value_rating,suggested_side,wcfl_points
North Texas,Temple,-19.5,11.36515938310344,30.86515938310344,95.0,Strong Value,North Texas,10
South Florida,Rice,-27.5,12.908031320213457,40.40803132021345,95.0,Strong Value,South Florida,9
USC,UCLA,-21.0,12.404240488478264,33.404240488478266,95.0,Strong Value,USC,8
Stanford,Notre Dame,32.5,-10.1655860041245,-42.6655860041245,95.0,Strong Value,Notre Dame,7
Tulane,Charlotte,-30.0,12.095209174885676,42.095209174885674,95.0,Strong Value,Tulane,6
Miami (OH),Ball State,-17.5,9.656520643555483,27.15652064355548,94.14130160888871,Strong Value,Miami (OH),5
Texas State,South Alabama,-9.0,9.197206592370526,18.197206592370527,92.99301648092631,Strong Value,Texas State,4
Nevada,UNLV,7.5,-8.433218643584548,-15.933218643584548,91.08304660896137,Strong Value,UNLV,3
UTSA,Army,-7.0,8.321674162064346,15.321674162064346,90.80418540516087,Strong Value,UTSA,2
NC State,North Carolina,-7.0,7.8158134218693665,14.815813421869366,89.53953355467341,Strong Value,NC State,1
