team,season,sp_rating,fpi_rating,elo_rating,srs_rating,source
Auburn,2025,12.5,11.628,1660,10.5,graphql
UAB,2025,-16.8,-15.367,1175,-14.8,graphql
South Alabama,2025,-10.4,-9.568,1375,-12.0,graphql
Arkansas,2025,6.7,7.842,1588,6.1,graphql
Arizona State,2025,6.5,7.828,1653,7.5,graphql
Arizona,2025,13.0,9.285,1651,12.2,graphql
San Diego State,2025,7.2,0.572,1530,3.2,graphql
San José State,2025,-11.4,-12.197,1185,-13.2,graphql
Stanford,2025,-9.9,-3.736,1315,-4.4,graphql
California,2025,-4.1,-5.063,1351,-6.7,graphql
UCLA,2025,-8.5,-3.012,1313,-1.3,graphql
USC,2025,16.3,18.969,1898,15.8,graphql
Colorado State,2025,-14.5,-12.033,1191,-13.1,graphql
Colorado,2025,-6.8,-2.959,1338,-2.2,graphql
UConn,2025,6.3,-2.128,1554,-2.2,graphql
Delaware,2025,-12.6,-15.43,1266,-15.5,graphql
Florida State,2025,10.1,9.971,1606,9.8,graphql
Jacksonville State,2025,-5.2,-9.358,1501,-10.3,graphql
Florida,2025,0.5,7.332,1543,4.7,graphql
South Florida,2025,12.4,10.861,1751,14.2,graphql
Georgia Tech,2025,8.8,6.286,1573,6.6,graphql
Georgia,2025,24.3,21.71,2048,18.4,graphql
Hawai'i,2025,-1.1,-6.072,1421,-4.7,graphql
Iowa State,2025,9.5,9.288,1655,10.4,graphql
Boise State,2025,5.3,4.589,1621,4.3,graphql
Northwestern,2025,1.9,3.099,1531,2.7,graphql
Indiana,2025,29.9,26.613,2142,24.9,graphql
Notre Dame,2025,24.3,24.915,2263,23.7,graphql
Kentucky,2025,4.6,7.725,1578,5.7,graphql
Louisville,2025,9.1,6.799,1631,5.8,graphql
Western Kentucky,2025,1.1,-7.896,1401,-4.5,graphql
LSU,2025,10.2,11.32,1690,9.2,graphql
Boston College,2025,-11.8,-7.218,1311,-8.3,graphql
Massachusetts,2025,-34.9,-29.827,748,-31.5,graphql
Maryland,2025,0.6,-1.418,1414,0.1,graphql
Michigan State,2025,-5.2,-0.339,1382,-2.3,graphql
Michigan,2025,15.2,15.842,1825,13.0,graphql
Minnesota,2025,-0.2,0.356,1491,-1.1,graphql
Missouri,2025,15.4,14.039,1748,12.0,graphql
Ole Miss,2025,21.9,18.003,1959,15.2,graphql
Duke,2025,3.7,4.368,1573,2.6,graphql
East Carolina,2025,6.0,2.578,1491,3.8,graphql
NC State,2025,0.7,2.409,1481,3.8,graphql
North Carolina,2025,-6.1,-5.992,1364,-6.8,graphql
Wake Forest,2025,5.8,0.809,1542,3.7,graphql
Nebraska,2025,8.8,7.482,1611,4.2,graphql
Rutgers,2025,-0.5,0.843,1445,1.4,graphql
New Mexico State,2025,-14.1,-15.665,1188,-14.3,graphql
New Mexico,2025,0.0,-2.43,1491,-0.4,graphql
Syracuse,2025,-12.9,-7.851,1230,-5.3,graphql
Bowling Green,2025,-15.7,-13.214,1230,-15.2,graphql
Miami OH,2025,-3.0,-4.727,1451,-5.1,graphql
Ohio State,2025,32.4,28.111,2158,27.2,graphql
Ohio,2025,-2.7,-2.973,1572,-4.1,graphql
Oklahoma State,2025,-16.4,-12.588,1084,-11.7,graphql
Oklahoma,2025,19.5,17.334,1824,15.8,graphql
Tulsa,2025,-10.7,-13.365,1119,-10.5,graphql
Oregon State,2025,-13.3,-11.291,1175,-12.6,graphql
Penn State,2025,16.4,15.561,1975,13.6,graphql
Temple,2025,-5.1,-8.44,1234,-6.8,graphql
Pittsburgh,2025,11.7,9.308,1691,11.9,graphql
Clemson,2025,9.2,8.208,1727,4.6,graphql
Memphis,2025,11.3,6.294,1660,5.8,graphql
Vanderbilt,2025,19.3,16.536,1827,16.2,graphql
Baylor,2025,1.4,3.744,1526,1.6,graphql
Rice,2025,-12.5,-15.29,1144,-13.5,graphql
Texas A&M,2025,22.6,19.639,1896,19.1,graphql
Houston,2025,7.3,3.063,1479,5.7,graphql
North Texas,2025,16.4,6.97,1741,11.1,graphql
Texas,2025,14.9,18.237,1880,12.0,graphql
BYU,2025,17.3,17.164,1781,19.0,graphql
Utah,2025,21.4,19.89,1971,22.6,graphql
James Madison,2025,12.5,7.985,1874,8.2,graphql
Virginia,2025,11.0,6.596,1604,8.8,graphql
Virginia Tech,2025,-8.6,-1.622,1409,-4.8,graphql
Washington,2025,17.5,13.417,1802,16.8,graphql
Washington State,2025,0.8,-0.407,1508,3.6,graphql
Wisconsin,2025,-4.7,2.791,1521,3.3,graphql
Marshall,2025,-4.4,-5.14,1495,-5.4,graphql
West Virginia,2025,-5.3,-1.965,1355,-1.7,graphql
Fresno State,2025,-1.2,-6.956,1478,-5.8,graphql
Georgia Southern,2025,-12.1,-11.689,1250,-13.2,graphql
Old Dominion,2025,6.2,3.715,1635,4.0,graphql
Louisiana,2025,-8.6,-8.917,1354,-10.4,graphql
Coastal Carolina,2025,-11.5,-12.812,1228,-11.6,graphql
Texas State,2025,-1.5,-3.162,1533,-4.0,graphql
Utah State,2025,-0.7,-2.341,1455,-1.7,graphql
Alabama,2025,21.0,21.804,1966,17.4,graphql
Kennesaw State,2025,-1.5,-6.944,1385,-4.0,graphql
Mississippi State,2025,5.1,5.72,1492,5.4,graphql
Army,2025,-2.5,-5.847,1504,-4.4,graphql
Illinois,2025,10.7,9.156,1576,11.7,graphql
Air Force,2025,-5.8,-10.077,1350,-9.4,graphql
Akron,2025,-13.7,-17.417,1101,-14.3,graphql
App State,2025,-10.6,-12.382,1252,-12.5,graphql
Arkansas State,2025,-9.9,-9.649,1302,-11.3,graphql
Ball State,2025,-20.7,-18.917,1018,-18.6,graphql
Buffalo,2025,-8.0,-13.256,1288,-14.4,graphql
UCF,2025,0.7,-0.597,1464,-0.2,graphql
Central Michigan,2025,-4.4,-9.911,1291,-6.4,graphql
Cincinnati,2025,8.3,6.822,1569,7.0,graphql
Eastern Michigan,2025,-14.3,-12.953,1246,-16.2,graphql
Florida Atlantic,2025,-7.7,-9.099,1263,-9.6,graphql
Florida International,2025,-9.7,-11.499,1343,-10.7,graphql
Georgia State,2025,-23.6,-18.278,1104,-19.6,graphql
Iowa,2025,15.4,12.96,1902,11.1,graphql
Kansas,2025,3.8,4.385,1499,3.2,graphql
Kansas State,2025,6.1,7.459,1680,7.1,graphql
Kent State,2025,-19.6,-20.35,974,-15.8,graphql
Liberty,2025,-8.0,-10.687,1457,-10.3,graphql
Louisiana Tech,2025,-1.5,-6.6,1407,-4.7,graphql
Miami,2025,20.2,19.042,1907,18.8,graphql
Middle Tennessee,2025,-18.0,-18.629,1148,-19.6,graphql
Navy,2025,2.3,-2.707,1485,-1.0,graphql
Charlotte,2025,-25.5,-21.734,1035,-21.9,graphql
UL Monroe,2025,-21.6,-19.996,1013,-20.8,graphql
UNLV,2025,5.7,0.785,1663,-0.7,graphql
Nevada,2025,-12.6,-13.416,1303,-12.5,graphql
Northern Illinois,2025,-15.8,-13.353,1260,-16.5,graphql
Oregon,2025,26.6,24.402,2086,22.2,graphql
Purdue,2025,-6.5,-3.402,1276,-2.1,graphql
Sam Houston,2025,-25.4,-22.328,1068,-21.7,graphql
SMU,2025,14.8,12.676,1860,11.0,graphql
Southern Miss,2025,-4.2,-7.056,1297,-7.4,graphql
South Carolina,2025,6.1,10.793,1730,6.4,graphql
Missouri State,2025,-7.8,-10.102,1366,-7.0,graphql
TCU,2025,6.7,8.002,1602,6.8,graphql
Tennessee,2025,17.5,17.033,1856,15.5,graphql
UTSA,2025,2.3,0.54,1585,1.0,graphql
UTEP,2025,-15.0,-14.548,1208,-15.6,graphql
Texas Tech,2025,28.7,20.45,1997,24.0,graphql
Toledo,2025,8.4,3.744,1642,5.8,graphql
Troy,2025,-4.2,-7.268,1362,-9.3,graphql
Tulane,2025,5.8,3.477,1575,3.5,graphql
Western Michigan,2025,-3.2,-5.206,1407,-2.9,graphql
Wyoming,2025,-9.2,-10.729,1333,-10.1,graphql
